TOPIC-id,SDG,TOPIC,Keywords
SDG02020,2,Malnutrition,"Malnutrition, nutrients AND deficiency, Underweight, Food desert", "Stunting, Agrobiodiversity, Underweight", "Stunted growth, Agricultural biodiversity, Underweight"
SDG02030,2,Agricultural Productivity,"Land law, Agricultural productivity, Agroforestry", "Land law, Agricultural productivity, Agroforestry", "Land law, Agricultural productivity, Agroforestry"
SDG02040,2,Sustainable Farming,"Biofertilizer, Crop diversity, Sustainable agriculture, Agroecology", "Biofertilizer, Crop diversity, Agroecology", "Biofertilizer, Crop diversity, Agroecology"
SDG02050,2,Food policy,"Agricultural value chain, Agribusiness, Bioeconomy, Food policy","Agricultural value chain, Agribusiness, Bioeconomy", "Agricultural value chain, Agribusiness, Bioeconomy"
SDG02060,2,Rural Development,"Land law, Agricultural Land Reserve, Agricultural economics, Indigenous land rights", "Agricultural Land Reserve, Agricultural economics, Indigenous land rights", "Agricultural Land Reserve, Agricultural economics, Indigenous land rights"
SDG02070,2,Smallholder Farmers,"Agricultural Orientation index, Smallholding, World Food Programme", "Agricultural Orientation, Smallholding, World Food Programme", "Agricultural Orientation index, Smallholding, World Food Programme"
SDG02080,2,Food Systems,"Food system, Food industry, Food Standards Agency, foodborne illness, Food technology", "Food system, Food industry, Food technology", "Food system, Food industry, Food technology"
SDG02090,2,Zero Hunger,"Hunger, Universal Declaration on the Eradication of Hunger and Malnutrition, Zero Hunger", "Famine relief, Famine scale, Starvation response", "Famine relief, Famine scales, Starvation response"
SDG02100,2,Resilient Agriculture,"Genetically Modified Food, Climate-smart agriculture, Genetically Modified Crops, Biofortification", "Genetically Modified Food, Climate-smart agriculture, Biofortification", "Genetically Modified Food, Climate-smart agriculture, Biofortification"
SDG03000,3,SDG 3,"Biomedical sciences, Rare disease, Orphan drugs, Orphanet, 9q34.3 deletion syndrome, Angelman syndrome, Dravet syndrome, Cornelia de Lange syndrome, Fragile X syndrome, Rett syndrome, Kabuki syndrome, Prader–Willi syndrome, Epidemiology, AIDS, Infection, Infectious diseases (medical specialty), COVID-19, Ebola, Influenza, Hepatitis, Mpox, Tuberculosis, Diabetes, Asthma, Arthritis, Cardiovascular disease, Osteoporosis, Cancer, Alzheimer's disease , Non-communicable Diseases, Maternal health, preconception, pregnancy, childbirth, Reproductive health, Complications of pregnancy, Vaccination, Vaccination policy, Vaccination schedule, MEDLINE, Health system, Health care, Health equity, Health human resources, Health insurance, Primary care, Universal Healthcare, Access to Medicine, Cancer, Cancer screening, Cancer treatment, Epidemiology of cancer, Oncology, Cancer research, Mental health, Mental disorder, Mental environment, Emotional resilience, Social stigma, Public health, Air contamination, Air pollution, Global Health Initiatives, Tropical disease, Tropical medicine, Lassa fever, Marburg virus, Dengue fever, Malaria, Sustainable Development Goal 3",,
SDG03010,3,Rare Diseases,"Biomedical sciences, Rare disease, Orphan drugs, Orphanet, 9q34.3 deletion syndrome, Angelman syndrome, Dravet syndrome, Cornelia de Lange syndrome, Fragile X syndrome, Rett syndrome, Kabuki syndrome, Prader–Willi syndrome","Kleefstra, Angelman, Dravet, Cornelia de Lange, Fragile X, Rett, Kabuki, Prader–Willi","9q34.3 deletion syndrome, Angelman syndrome, Dravet syndrome, Cornelia de Lange syndrome, Fragile X syndrome, Rett syndrome, Kabuki syndrome, Prader–Willi syndrome"
SDG03020,3,Communicable Diseases,"Epidemiology, AIDS, Infection, Infectious diseases (medical specialty), COVID-19, Ebola, Influenza, Hepatitis, Mpox, Tuberculosis","COVID-19, Ebola, Influenza, Hepatitis, Mpox, Tuberculosis","COVID-19, Ebola, Influenza, Hepatitis, Mpox, Tuberculosis"
SDG03030,3,Non-communicable Diseases,"Diabetes, Asthma, Arthritis, Cardiovascular disease, Osteoporosis, Cancer, Alzheimer's disease, Non-communicable Diseases","Diabetes, Asthma, Arthritis, Cardiovascular disease, Osteoporosis, Cancer, Alzheimer's","Diabetes, Asthma, Arthritis, Cardiovascular disease, Osteoporosis, Cancer, Alzheimer's disease"
SDG03040,3,Maternal Health,"Maternal health, preconception, pregnancy, childbirth, Reproductive health, Complications of pregnancy","Pregnancy, Childbirth, Pregnancy Complications","pregnancy, childbirth, Complications of pregnancy"
SDG03050,3,Vaccination,"Vaccination, Vaccination policy, Vaccination schedule" ,"Vaccination policy, Vaccination schedule, Vaccine trial","Vaccination policy, Vaccination schedule, Vaccine trial"
SDG03060,3,Public Healthcare,"MEDLINE, Health system, Health care, Health equity, Health human resources, Health insurance, Primary care, Universal Healthcare, Access to Medicine","Health equity, Health human resources, Health insurance", "Health equity, Health human resources, Health insurance"
SDG03070,3,Cancer Research,"Cancer, Cancer screening, Cancer treatment, Epidemiology of cancer, Oncology, Cancer research","Cancer screening, Cancer treatment,Cancer research", "Cancer screening, Cancer treatment,Cancer research"
SDG03080,3,Mental Health,"Mental health, Mental disorder, Mental environment, Emotional resilience, Social stigma","Mental disorder, Mental environment, Emotional resilience","Mental disorder, Mental environment, Emotional resilience"
SDG03090,3,Public Health,"Public health, Air contamination, Air pollution, Global health,Health promotion","Health promotion, Global health, Universal health care", "Health promotion, Global health, Universal health care"
SDG03100,3,Tropical Disease,"Tropical disease, Tropical medicine, Lassa fever, Marburg virus, Dengue fever, Malaria","Lassa fever, Marburg virus, Dengue fever, Malaria","Lassa fever, Marburg virus, Dengue fever, Malaria"
SDG04000,4,SDG 4,"Continuing education, adult education, Community education, Lifelong learning, Part-time student, Professional learning community, Education policy, Early Childhood Education Act, Education AND Legislation, Board of education, Universal Primary Education, Quality Education, Gender Equality in Education, Youth empowerment, Digital literacy, Data literacy, Education AND Accessibility, Education AND Equity, Education AND Inclusion, Education AND Immigrants, Education AND Migrants, Education AND Open file format, Equal Education, Student financial aid, Early Childhood Development, Teacher education, European Teacher Education Network, Teaching method, Vocational Training, Educational technology, Education AND Innovation, Nonformal learning, Open education, Open educational resources, Free education, Education AND Open access, Nonformal learning, Global Citizenship, functional literacy, Professional development, Capacity building, Coursework, Competency building, Special Education, Disability studies, Early childhood intervention, special needs, learning disabilities, Sustainable Development Goal 4",,
SDG04010,4,Lifelong Learning,"Continuing education, adult education, Community education, Lifelong learning, Part-time student, Professional learning community","Continuing education, Adult education, Community education", "Continuing education, Adult education, Community education"
SDG04020,4,Education Policy,"Education policy, Early Childhood Education Act, Education AND Legislation, Board of education, Universal Primary Education, Quality Education, Gender Equality in Education","Early Childhood Education, Quality Education, Gender Equality in Education","Early Childhood Education Act, Quality Education, Gender Equality in Education"
SDG04030,4,Digital Literacy,"Youth empowerment, Digital literacy, Data literacy,Media literacy,Web literacy","Web literacy, Media literacy, Data literacy","Web literacy, Media literacy, Data literacy"
SDG04040,4,Inclusive Education,"Education AND Accessibility, Education AND Equity, Education AND Inclusion, Education AND Immigrants, Education AND Migrants, Education AND Open file format, Equal Education, Student financial aid, Early Childhood Development","Equal Education, Student financial aid,Open file format","Equal Education, Student financial aid,Open file format"
SDG04050,4,Teacher Training,"Teacher education, European Teacher Education Network, Teaching method, Vocational Training","Teacher education,Teaching method, Vocational Training","Teacher education,Teaching method, Vocational Training"
SDG04060,4,Educational Technology,"Educational technology, Education AND Innovation, Computer-supported collaborative learning","Computer-supported collaborative learning,Virtual Collaborative Learning, Distance education","Computer-supported collaborative learning,Virtual Collaborative Learning, Distance education"
SDG04070,4,Open Education,"Nonformal learning, Open education, Open educational resources, Free education, Education AND Open access","Open educational resources, Free education, Open access","Open educational resources, Free education, Education AND Open access"
SDG04080,4,Distance education,"Nonformal learning, Global Citizenship, Distance education","Nonformal learning, Global Citizenship, Digital divide","Nonformal learning, Global Citizenship, Digital divide"
SDG04090,4,Capacity Building,"Professional development, Capacity building, Coursework, Competency building","Professional development, Coursework, Competency building","Professional development, Coursework, Competency building"
SDG04100,4,Special Education,"Special Education, Disability studies, Early childhood intervention, special needs, learning disabilities","Early childhood intervention, special needs, learning disabilities","Early childhood intervention, special needs, learning disabilities"
SDG05000,5,SDG 5,"Women's empowerment, Feminism, Gender Equality, Equal opportunity, Gender and education, Gender parity, Gender parity index, Gender inequality, Gender Mainstreaming, Gender-related violence, Sexual violence, Domestic Violence, Child marriage, Forced marriage, Human rights, Women's rights, Sexual Abuse, Sex Offense, Social inequality, Equal opportunity, Equal pay for equal work, Equal Pay, Disadvantaged, Discrimination, Discrimination based on skin tone, Discrimination against atheists, Sexual minority, Minority group, Minority influence, Social vulnerability, Social stratification, Transgender, Transgender inequality, LGBTQ, Lesbian, Gay, Sustainable Development Goal 5",,
SDG05010,5,Gender empowerment,"Gender empowerment,Women's empowerment, Feminism, Gender Equality","Women's empowerment, Feminism, Gender Equality","Women's empowerment, Feminism, Gender Equality"
SDG05020,5,Equal Opportunities,"Equal opportunity, Prejudice, Gender and education","Prejudice,Oppression,Substantive equality","Prejudice,Oppression,Substantive equality"
SDG05030,5,Gender Parity,"Gender parity, Gender parity index, Gender inequality, Gender Mainstreaming","Gender identity, Gender inequality, Gender Mainstreaming","Gender identity, Gender inequality, Gender Mainstreaming"
SDG05040,5,Gender-based Violence,"Gender-related violence, Sexual violence, Domestic Violence, Violence against women","Violence against women,Sexual violence, Domestic Violence","Violence against women,Sexual violence, Domestic Violence"
SDG05050,5,Women's Rights,"Child marriage, Forced marriage, Human rights, Women's rights","Female education, Forced marriage, Misogyny","Female education, Forced marriage, Misogyny"
SDG05060,5,Sex Offense,"Sexual Abuse, Sex Offense,Age of consent,Child sexual abuse, Stalking","Sexual Abuse, Stalking, Child sexual abuse","Sexual Abuse, Stalking, Child sexual abuse"
SDG05070,5,Pay Equity,"Social inequality, Equal opportunity, Equal pay for equal work, Equal Pay,Labor rights","Social inequality, Equal opportunity,Labor rights","Social inequality, Equal opportunity,Labor rights"
SDG05080,5,Discrimination,"Disadvantaged, Discrimination, Discrimination based on skin tone, RacismDiscrimination against atheists, Ableism","Disadvantaged,Racism,Ableism","Disadvantaged,Racism,Ableism"
SDG05090,5,Minorities,"Sexual minority, Minority group, Minority influence, Social vulnerability, Social stratification,Minority religion","Sexual minority,Religious minority,Ethnic minority","Sexual minority,Religious minority,Ethnic penalty"
SDG05100,5,Representation,"Transgender, Transgender inequality, LGBTQ, Lesbian, Gay","Transgender,Lesbian, Gay","Transgender,Lesbian, Gay"
SDG06000,6,SDG 6,"Water supply, Water-use efficiency, Groundwater, Sanitation, Water AND Hygiene, Water Sanitation, Waterborne disease, Escherichia coli, Salmonella enterica, Polyomavirus infection, Desmodesmus, Reclaimed water, Desalination, Wastewater treatment, Drinking water, Drinking water quality standards, Safe Drinking Water, Drought, Water scarcity,  Water security, Water storage, Water resources, Water Resource Management, Integrated Water Resources Management, Water quality, Water quality law, Water quality modelling, Water rights, Water politics, Water Regulations Advisory Scheme, Water Pollution, Water AND Contamination, Aquatic toxicology, Sustainable Development Goal 6",,
SDG06010,6,Water Access,"Water supply, Water-use efficiency, Groundwater","Water supply, Water-use efficiency, Groundwater","Water supply, Water-use efficiency, Groundwater"
SDG06020,6,Sanitation & Hygiene,"Sanitation, Water AND Hygiene, Water AND Sanitation","Ecological sanitation, Emergency sanitation, Sustainable sanitation","Ecological sanitation, Emergency sanitation, Sustainable sanitation"
SDG06030,6,Water-borne Disease,"Waterborne disease, Escherichia coli, Salmonella enterica, Polyomavirus infection, Desmodesmus","Escherichia coli, Salmonella enterica, Polyomavirus infection, Desmodesmus","Escherichia coli, Salmonella enterica, Polyomavirus infection, Desmodesmus"
SDG06040,6,Wastewater Management,"Reclaimed water, Desalination, Wastewater treatment","Reclaimed water, Desalination,Sewage treatment","Reclaimed water, Desalination,Sewage treatment"
SDG06050,6,Clean Drinking Water,"Drinking water, Drinking water quality standards, Safe Drinking Water,Tap water","Tap water,Drinking water quality, Safe Drinking Water","Tap water,Drinking water quality standards, Safe Drinking Water"
SDG06060,6,Water Scarcity,"Drought, Water scarcity, Water security,Peak water","Drought, Peak water, Water security","Drought, Peak water, Water security"
SDG06070,6,Water Resource Management,"Water storage, Water resources, Water Resource Management, Integrated Water Resources Management,Water resource policy","Water storage, Water resources, Water resource policy","Water storage, Water resources, Water resource policy"
SDG06080,6,Water Quality,"Water quality, Water quality law, Water quality modelling", "Water quality law,Water quality modelling,Drinking water quality","Water quality law,Water quality modelling,Drinking water quality,Drinking water quality standards"
SDG06090,6,Water Policy,"Water rights, Water politics, Water Regulations Advisory Scheme","Water rights, Water politics, Water Regulations","Water rights, Water politics, Water Regulations Advisory Scheme"
SDG06100,6,Water Pollution,"Water Pollution, Water AND Contamination, Aquatic toxicology","Turbidity,Salinity,Pesticide","Turbidity,Salinity,Pesticide AND Water"
SDG07000,7,SDG 7,"Renewable energy, Solar power, Wind energy, Energy poverty, Energy for All, SolarAid, Sustainable Energy for All, Household energy insecurity, Sustainable energy, Energy poverty and cooking, Clean Energy Regulator, Energy efficiency, Energy efficiency implementation, Energy efficiency gap, Energy conservation, Energy storage, Electric potential energy, Thermal energy storage, Energy recycling, Energy recovery, Waste-to-energy, Waste heat, Sustainable energy, Carbon capture and storage, Energy transition, Energy development, Energy demand management, Electric energy consumption, World energy resources, World energy supply and consumption, Nuclear power, Potential energy, Nuclear reactor, Sustainable Development Goal 7",,
SDG07010,7,Renewable Energy,"Renewable energy, Solar power, Wind energy","Solar power, Wind energy, Hidro energy","Solar power, Wind energy, Hydropower"
SDG07020,7,Energy Access,"Energy poverty, Energy for All, Energy poverty and cooking, SolarAid, Sustainable Energy for All, Household energy insecurity","Energy poverty,Energy aid, Household energy insecurity","Energy poverty,Energy for All, Household energy insecurity"
SDG07030,7,Energy transition, "Energy transition, Energy security, Sustainable energy, Clean Energy Regulator","Energy security,Variable renewable energy,Grid balancing", "Energy security,Variable renewable energy,Grid balancing",
SDG07040,7,Energy Efficiency,"Energy efficiency, Energy efficiency implementation, Energy efficiency gap","Thermal efficiency,Luminous efficacy, Data Centre efficency", "Thermal efficiency,Luminous efficacy,Power usage effectiveness"
SDG07050,7,Energy Conservation,"Energy conservation, Energy storage, Electric potential energy, Thermal energy storage","Energy storage, Electric potential energy, Thermal energy storage","Energy storage, Electric potential energy, Thermal energy storage"
SDG07060,7,Energy Recycling,"Energy recycling, Energy recovery, Waste-to-energy, Waste heat,Cogeneration","Energy recovery, Waste-to-energy, Cogeneration","Energy recovery, Waste-to-energy, Cogeneration"
SDG07070,7,Sustainable Energy,"Sustainable energy, Carbon capture and storage, Energy transition,Sustainable city,Sustainable refurbishment,Sustainable biofuel","Sustainable city,Sustainable refurbishment,Sustainable biofuel","Sustainable city,Sustainable refurbishment,Sustainable biofuel"
SDG07080,7,Energy Infrastructure,"Energy development, Energy demand management, Electric energy consumption","Energy development, Energy demand, Energy consumption","Energy development, Energy demand management, Electric energy consumption"
SDG07090,7,Energy Policy,"World energy resources, World energy supply and consumption, Energy policy,Energy planning,Energy intensity,Nuclear energy policy","Energy planning,Energy intensity,Nuclear energy policy","Energy planning,Energy intensity,Nuclear energy policy"
SDG07100,7,Nuclear Energy,"Nuclear power, Potential energy, Nuclear reactor, Nuclear energy policy","Nuclear power, Potential energy,Energy economics","Nuclear power, Potential energy,Energy economics"
SDG08000,8,SDG 8,"Unemployment, Self-employment, Workforce, Economic Growth, Informal Economy, Globalization, Sustainability, Sustainable tourism, Ecotourism, Financial models, Business model, Innovation, Financial support, Worker Rights, Labor Right, Labour law, Decent Work, Fundamental rights, Dignity of labour, Inclusive Development Index, Inclusive growth, Sustainable development, Resource efficiency, Resource intensity, Sustainability measurement, Youth Unemployment, Unemployment, Capacity building, Corporate Social Responsibility, Conscious business, Corporate governance, Sustainable Development Goal 8",,
SDG08010,8,Unemployment,"Unemployment, Self-employment, Workforce,Unemployment benefits,Technological unemployment","Self-employment, Unemployment benefits,Technological unemployment","Self-employment, Unemployment benefits,Technological unemployment"
SDG08020,8,Economic Development,"Economic Growth, Informal Economy, Globalization","Economic Growth, Informal Economy, Globalization","Economic Growth, Informal Economy, Globalization"
SDG08030,8,Sustainable Tourism,"Sustainability, Sustainable tourism, Ecotourism","Nature-positive Tourism,Responsible Tourism,Ecotourism", "Nature-positive, Leave No Trace,Ecotourism"
SDG08040,8,Entrepreneurship,"Financial models, Business model, Innovation, Financial support","Financial, Business, Innovation","Financial models, Business model, Innovation"
SDG08050,8,Labor Rights,"Worker Rights, Labor rights, Labour law,Right to work","Worker Rights, Freedom of association, Labour law","Worker Rights, Freedom of association, Labour law"
SDG08060,8,Decent Work,"Decent Work, Fundamental rights, Dignity of labour,Decent work","Decent Work, Decent work, Dignity of labour","Decent Work, Decent work, Dignity of labour"
SDG08070,8,Economic inclusivity,"Inclusive Development Index, Inclusive growth, Sustainable development","Inclusive Development, Inclusive growth, Sustainable development","Inclusive Development Index, Inclusive growth, Sustainable development"
SDG08080,8,Resource Efficiency,"Resource efficiency, Resource intensity, Sustainability measurement,Resource productivity,Environmental degradation","Resource productivity,Resource intensity,Environmental degradation","Resource productivity,Resource intensity,Environmental degradation"
SDG08090,8,Youth Employment,"Youth Unemployment, Unemployment, Capacity building,Social entrepreneurship","Capacity building,Social entrepreneurship,Youth intervention","Capacity building,Social entrepreneurship,Youth intervention"
SDG08100,8,Corporate Social Responsibility,"Corporate Social Responsibility, Conscious business, Corporate governance","Responsible Research and Innovation,Conscious business, Corporate governance","Responsible Research and Innovation,Conscious business, Corporate governance"
SDG09000,9,SDG 9,"Infrastructure, IT infrastructure, Data center, Business continuity planning, Industrialisation, Manufacturing, Technology life cycle, Research and development, Technology demonstration, Prototype, Innovation, Lean project management, Intellectual property, Sustainable industries, Green infrastructure, Sustainable energy, Cyber Resilience Act, Computer security, Cyber resilience, Software standard, Industrial Policy, Communication protocol, Domino effect accident, Process safety, Transdisciplinarity, Green economy, Ecological economics, Environmental economics, Artificial Intelligence, Digital transformation, Discovery-driven planning, Sustainable Development Goal 9",,
SDG09010,9,Infrastructure,"Infrastructure, IT infrastructure, Data center, Business continuity planning,Critical infrastructure","Cloud infrastructure, Data infrastructure, Critical infrastructure","Cloud computing, Data infrastructure, Critical infrastructure"
SDG09020,9,Industrialization,"Industrialisation, Manufacturing, Technology life cycle", "Human-Machine Interaction, Human-Robot Collaboration,Industry 5.0", "Human–computer interaction, Human–robot interaction, Fourth Industrial Revolution"
SDG09030,9,Research & Development,"Research and development, Technology demonstration, Prototype","Open science,Technology demonstration, Technology transfer","Open science,Technology demonstration, Technology transfer"
SDG09040,9,Innovation,"Innovation, Lean project management, Intellectual property, Open innovation","Lean development, Intellectual property, Open innovation","Lean software development, Intellectual property, Open innovation"
SDG09050,9,Sustainable industries,"Sustainable industries, Green infrastructure, Sustainable energy","Environmental impact assessment, Green infrastructure, ESG","Environmental impact assessment, Green infrastructure, Environmental,_social,_and_governance"
SDG09060,9,Technology Resilience,"Cyber Resilience Act, Computer security, Cyber resilience","Cybercrime,Computer security, Cyber resilience","Cybercrime,Computer security, Cyber resilience"
SDG09070,9,Industrial Policy,"Software standard, Industrial Policy, Communication protocol","Software standard, Commercial policy, Communication protocol","Software standard, Commercial policy, Communication protocol"
SDG09080,9,NaTech Accidents,"Domino effect accident, Process safety, Transdisciplinarity","Domino effect accident, Process safety, Disaster risk reduction","Domino effect accident, Process safety, Disaster risk reduction"
SDG09090,9,Green Economy,"Green economy, Ecological economics, Environmental economics","Sustainability certification,Green accounting, Environmental economics", "Sustainability standards and certification,Green accounting, Environmental economics"
SDG09100,9,Digital Transformation,"Artificial Intelligence, Digital transformation, Discovery-driven planning","Artificial Intelligence, Digital transformation, Discovery-driven planning","Artificial Intelligence, Digital transformation, Discovery-driven planning"
SDG10000,10,SDG 10,"Inclusive growth, Smart growth, Social exclusion, Discrimination, Antisemitism, Anti-Catholicism, Anti-Arabism, Income distribution, Economic inequality, Distribution of wealth, Social mobility, Social stigma, Spatial inequality, Social equity, Social justice, Social privilege, Migrant, Refugee, Diaspora, Asylum seeker, Disability, Assistive technology, Parents with disabilities, Global citizenship, Transnationality, Transnationalism, Globalization, Fair trade, Fairtrade International, Alter-globalization, Social inequality, Gini coefficient, Distribution of wealth, Sustainable Development Goal 10",,
SDGt101,10,Social exclusion,"Inclusive growth, Smart growth, Social exclusion","Inclusive growth, Smart growth, Social alienation","Inclusive growth, Smart growth, Social alienation"
SDGt102,10,Discrimination,"Discrimination, Antisemitism, Anti-Catholicism, Anti-Arabism","Antisemitism, Anti-Catholicism, Anti-Arabism","Antisemitism, Anti-Catholicism, Anti-Arabism"
SDGt103,10,Income Inequality,"Income distribution, Economic inequality, Distribution of wealth","Economic security,Economic inequality, wealth Distribution","Economic security,Economic inequality, wealth Distribution"
SDGt104,10,Social stigma,"Stereotype, Social stigma, Spatial inequality,Attribution bias", "Stereotype, Attribution bias, Epistemic injustice","Stereotype,Attribution bias, Epistemic injustice"
SDGt105,10,Equitable Opportunities,"Social equity, Social justice, Social privilege","Social equity, Social justice, Social privilege","Social equity, Social justice, Social privilege"
SDGt106,10,Migrants and Refugees,"Migrant, Refugee, Diaspora, Asylum seeker","Refugees, Diaspora, Asylum seeker","Refugee, Diaspora, Asylum seeker"
SDGt107,10,Developmental disability,"Disability, Assistive technology, Parents with disabilities, Developmental disability","Disability welfare, Assistive technology, Parents with disabilities","Disability welfare, Assistive technology, Parents with disabilities"
SDGt108,10,Global Citizenship,"Global citizenship, Transnationality, Transnationalism, Globalization","Global justice,Transnationalism, Globalization","Global justice,Transnationalism, Globalization"
SDGt109,10,Fair Trade,"Fair trade, Fairtrade International, Alter-globalization","Fair trade certification, Ethical consumerism, Alter-globalization","Fair trade certification, Ethical consumerism, Alter-globalization"
SDGt110,10,Distribution of wealth,"Social inequality, Gini coefficient, Distribution of wealth","Social inequality, Gini coefficient,conomic heterogeneity","Social inequality, Gini coefficient,Heterogeneity in economics"
SDGt111,11,SDG 11,"Urbanization, Smart Cities, Urban Planning, Affordable Housing, Household income, Housing affordability index, Sustainable transport, Cyclability, Environmental impact of shipping, Sustainable urban infrastructure, Climate Resilient Infrastructure Development Facility, Critical infrastructure, Green infrastructure, Green belt, Greenway (landscape), Waste management, Biomedical waste, Sanitary engineering, Air pollution, Air quality index, Air Pollution Index, Public Transport, Shared transport, Journey planner, Flood management, Emergency management, Flood risk assessment, Sustainable city, Smart city, Eco-cities, Sustainable Development Goal 11",,
SDGt112,11,Green Urban Planning,"Urbanization, Smart Cities, Urban Planning, Green infrastructure, Green belt, Greenway (landscape)","Green infrastructure, Green belt, Greenway","Green infrastructure, Green belt, Greenway (landscape)"
SDGt113,11,Affordable Housing,"Affordable Housing, Household income, Housing affordability index","Public housing,Housing inequality,Housing policy","Public housing,Housing inequality,Housing authority"
SDGt114,11,Sustainable Transport,"Sustainable transport, Cyclability, Environmental impact of shipping, Public Transport, Shared transport, Journey planner","Cyclability, Public Transport, Shared transport","Cyclability, Public Transport, Shared transport"
SDGt115,11,Resilient Infrastructure,"Sustainable urban infrastructure, Climate Resilient Infrastructure Development Facility, Critical infrastructure","Sustainable urban infrastructure, Climate Resilient Infrastructure, Infrastructure security","Sustainable urban infrastructure, Climate Resilient Infrastructure, Infrastructure security"
SDGt116,11,Smart Cities,"Smart city, Internet of things, Community-driven development, Community organization","Ecodistrict, Urban informatics, Zero-carbon city","Ecodistrict, Urban informatics, Zero-carbon city"
SDGt117,11,Waste Management,"Waste management, Biomedical waste, Sanitary engineering","Recycling, Landfarming, Sanitary engineering","Recycling, Landfarming, Sanitary engineering"
SDGt118,11,Air Quality,"Air pollution, Air quality index, Air Pollution Index","Air pollution, Particulate matter,Emission standard","Air pollution, Particulate matter,Emission standard"
SDGt119,11,Sustainable Communities,"Sustainable community, Sustainable living, Sustainable Communities Plan, Green affordable housing,Urban resilience,Participatory planning,Environmental gentrification","Urban resilience,Participatory planning,Environmental gentrification","Urban resilience,Participatory planning,Environmental gentrification"
SDGt120,11,Disaster Preparedness,"Flood management, Emergency management, Flood risk assessment,Early warning system,Disaster response","Early warning system, Emergency management,Disaster response","Early warning system, Emergency management,Disaster response"
SDGt121,11,Sustainable Cities,"Sustainable city, Smart city, Eco-cities","Sustainable urbanism,Green infrastructure, Walkability","Sustainable urbanism,Green infrastructure, Walkability"
