Index,Long Name,Short Name,SDG
49,Extent of direct popular votes (best estimate: aggregate: average),Direct Popular Votes Estimate,16
50,Military expenditure per armed forces personnel (constant US$),Military Expenditure,16
51,Capture fisheries production (metric tons),Capture Fisheries Production,14
52,Gini coefficient of lifespan inequality - Sex: male,Gini Coefficient Inequality,1
53,Rate of Uterine cancer deaths,Uterine cancer deaths,3
54,Percent of Police conflict and executions deaths,Police Conflict Deaths,16
55,Case fatality ratio (percentage),Case Fatality Ratio,3
56,Average precipitation in depth (mm per year),Average Precipitation Depth,6
57,Percent of Foreign body deaths,Foreign Body Deaths,16
58,Share of global cumulative CO₂ emissions including land-use change,Global CO2 Emmissions,13
59,State involved in conflict - Conflict type: state-based,State Involved Conflict,16
60,Percent of Meningitis deaths,Percent Meningitis Deaths,3
61,Observation value - Unit of measure: Deaths per 100 live births - Indicator: Infant mortality rate - Sex: Both sexes - Wealth quintile: All wealth quintiles,Infant mortality rate,3
62,Milk | 00001780 || Yield | 005420 || kilograms per animal,Milk yield,2
63,Judicial constraints on the executive index (best estimate),Executive Judicial Constraints,16
64,Rate of Adverse effects of medical treatment deaths,Effects of medical treatment deaths,3
65,Food exports (% of merchandise exports),Food Exports,2
66,Raised fasting blood glucose (>=7.0 mmol/L) (age-standardized estimate) - Sex: both sexes - Age group: 18+  years,Raised Fasting Blood,3
67,Share of global food emissions,Global Food Emissions,2
68,Rate of Total burden related to hepatitis C deaths,Hepatitis C deaths burden,3
69,Value of global merchandise imports as a share of GDP (Fouquin and Hugot; CEPII 2016; National data),Value Global Merchandise Imports,8
70,The law grants spouses equal administrative authority over assets during marriage (1=yes; 0=no),The Law Grants,16
71,Legislative elections,Legislative Elections,16
72,Vaccination schedule for Inactivated Polio Vaccine (IPV),Inactivated Polio Vaccine,3
73,Percent of Testicular cancer deaths,Percent Testicular Cancer,3
74,Gross enrolment ratio: secondary: both sexes (%),Gross Enrolment Ratio,4
75,Share of cereals that are allocated to human food,Share Cereals in Human Food,2
76,Justified political positions (best estimate),Justified Political Positions,16
77,Temperature,Temperature,13
78,Share of cereals that are allocated to animal feed,Share Cereals in Animal Food,2
79,Percent of Total cancers deaths,% Total Cancer Deaths,3
80,Estimated maternal mortality ratio,Estimated Maternal Mortality,3
81,Rate of Alcohol use disorders deaths,Alcohol Use Deaths,3
82,Taxes including social contributions (as a share of GDP),Taxes and Social Contributions,9
83,Political civil liberties index (best estimate: aggregate: average),Political Civil Liberties,10
84,Middle 40% - Share-pretax,Middle Sharepretax,10
85,Cumulative CO₂ emissions from flaring,CO₂ emissions from flaring,13
86,School enrollment: preprimary (% gross),School Enrollment Preprimary,4
87,Rate of Self-harm deaths,Rate Selfharm Deaths,3
88,GDP per person employed (constant 2017 PPP $),GDP Per Person,8
89,Death rate from diarrhoeal diseases among both sexes,Death Rate From,3
90,Share of global cumulative CO₂ emissions from cement,CO₂ emissions from cement,13
91,Percent of Chronic kidney disease deaths,CO₂ emissions from cement,13
92,Meat: poultry | 00001808 || Yield | 005424 || kilograms per animal,Meat: poultry yield,2
93,Number of slave ships departed,Number Slave Ships,10
94,Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD): model-based estimates,Overweight children under 5 years,3
95,Share of global annual CO₂ emissions from land-use change,CO₂ emissions from land-use change,13
96,Percent of Stroke deaths,Percent Stroke Deaths,3
97,Percent of Total burden related to hepatitis B deaths,Hepatitis B deaths burden,13
98,Wind - % electricity,Wind Electricity,7
99,Liberal component index (best estimate),Liberal Component Index,16
100,Rate of Rabies deaths,Rate Rabies Deaths,3
101,There is legislation on sexual harassment in employment (1=yes; 0=no),Law on sex harassment in employment ,8
102,Percent of Environmental heat and cold exposure deaths,Env heat and cold exposure deaths,13
103,Meat of cattle with the bone: fresh or chilled | 00000867 || Yield | 005417 || kilograms per animal,Meat of cattle with the bone: fresh or chilled yield,2
104,Prevalence of obesity among adults: BMI >= 30 (age-standardized estimate) (%) - Sex: male - Age group: 18+  years,Obesity among adults: BMI >= 30,3
105,Meat: chicken | 00001058 || Production | 005510 || tonnes,Meat: chicken production,2
106,Birth rate - Sex: all - Age: all - Variant: estimates,Birth Rate Sex,3
107,Access to justice for women (best estimate) (re-estimate),Access Justice ForWomen,5
108,Solar - % electricity,Solar Electricity,7
109,Neonatal tetanus - number of reported cases per million,Neonatal Tetanus ,3
110,Percent of Prostate cancer deaths,Prostate Cancer Deaths,3
111,Percent of Other unintentional injuries deaths,Other unintentional injuries deaths,3
112,Gender Inequality Index,Gender Inequality Index,5
113,2.1.1 Prevalence of undernourishment | 000000000024000 || Value | 006121 || Percent,Prevalence of undernourishment,3
114,Rate of Environmental heat and cold exposure deaths,Env heat and cold exposure deaths,13
115,Share of the population using at least basic drinking water services,Population basic drinking water services,6
116,Terrorism deaths per 100:000 people,Terrorism Deaths ,16
117,Death rate - Sex: all - Age: all - Variant: estimates,Death Rate  ,3
118,Rate of Malaria deaths,Malaria Deaths,3
119,Percent of Cervical cancer deaths,Cervical Cancer Deaths,3
120,Percent of Asthma deaths,Asthma Deaths,3
121,Terrain Ruggedness Index 100m (Nunn and Puga 2012),Terrain Ruggedness Index,15
122,A woman can open a bank account in the same way as a man (1=yes; 0=no),Woman Can Open Bank Account,5
123,9.2.2 - Manufacturing employment as a proportion of total employment - 13th ICLS (%) - SL_TLF_MANF,Manufacturing Employment Proportion,8
124,Annual freshwater withdrawals: industry (% of total freshwater withdrawal),Freshwater Withdrawals by industry,6
125,Prevalence of obesity among adults: BMI >= 30 (age-standardized estimate) (%) - Sex: both sexes - Age group: 18+  years,Obesity Among Adults,3
126,Rate of Multiple sclerosis deaths,Multiple Sclerosis Deaths,3
127,Equal rights protection index (best estimate),Equal Rights Protection,10
128,Death rate from natural disasters among both sexes,Death rate from natural disasters,11
129,Share of employment in agriculture (Herrendorf et al. and GGDC-10 data),Share Employment in Agriculture,2
130,Percent of Eating disorders deaths,Eating Disorder Deaths,3
131,Woman head of government,Woman Head of Government,5
132,Share of adults who are overweight (age-standardized) - Sex: female - Age group: 18+  years,Female adults overweight ,3
133,Percent of Road injuries deaths,Road injuries deaths,3
134,Classification of past colonial powers,Classification Past Colonial,16
135,Competitiveness of political participation,Competitiveness of Political Participation,16
136,Death rate from meningitis among both sexes,Death rate from meningitis,3
137,Direct popular vote index,Direct Popular Vote Index,16
138,State involved in war - Conflict type: all,State Involved in War,16
139,Rate of Ovarian cancer deaths,Ovarian cancer deaths,3
140,Poverty headcount ratio at national poverty lines (% of population),Poverty Headcount Ratio,1
141,Percent of Bladder cancer deaths,Bladder cancer deaths,3
142,DTP3 (% of one-year-olds immunized),One-year-olds immunized,3
143,Total days of leave available for the mother,Days of leave for mother,8
144,Country where war took place - Conflict type: state-based,Country Where War Existed,16
145,Age-standardized death rate from hypertensive heart disease among both sexes,Hypertensive heart disease deaths,3
146,Country where conflict took place - Conflict type: all,Country Where Conflict Existed,16
147,Rate of Conflict and terrorism deaths,Conflict and terrorism deaths,16
148,Measles - number of reported cases,Measles Cases Reported,3
149,Percent of Brain and central nervous system cancer deaths,Brain and CNS cancer deaths,3
150,Share of the population not using improved sanitation facilities,Population not using improved sanitation facilities,6
151,Rate of Interpersonal violence deaths,Interpersonal Violence Deaths,16
152,Rate of HIV/AIDS deaths,HIV/AIDS deaths,3
153,Annual CO₂ emissions from gas (per capita),CO₂ emissions from gas,13
154,Multi-party elections for government's chief executive (best estimate),Gov Multiparty Elections,16
155,Physicians (per 1:000 people),Physicians per 1k people,3
156,Rate of Measles deaths,Measles Deaths,3
157,Participatory political institutions (best estimate),Participatory Political Institutions,16
158,Labor force participation rate: female (% of female population ages 15+) (modeled ILO estimate),Labor Force Participation (F),8
159,State involved in conflict - Hostlev: all,State Involved in Conflict,16
160,Share of the rural population using at least basic drinking water services,Basic drinking water services (rural),6
161,Alcohol: recorded per capita (15+) consumption (in litres of pure alcohol) - Beverage types: Beer,Beer Consumption,2
162,Mean BMI (male),Mean BMI (M),3
163,Percent of Measles deaths,Measles Deaths,3
164,Rate of Brain and central nervous system cancer deaths,Brain and CNS cancer deaths,3
165,Age-standardized death rate from rheumatic heart disease among both sexes,Rheumatic heart disease deaths,3
166,Commercial bank branches (per 100:000 adults),Commercial bank branches,9
167,Military expenditure (% of GDP) GMSD,Military Expenditure,16
168,Share of global cumulative CO₂ emissions from gas,CO₂ emissions from gas,13
169,Share of the population using at least basic sanitation services: improved sanitation facilities which are not shared,Basic Sanitation Services,6
170,Vaccination schedule for rubella vaccine,Rubella Vaccine,3
171,Nuclear - % electricity,Nuclear Electricity,7
172,Total deaths from meningitis among both sexes,Deaths From Meningitis,3
173,Percent of Breast cancer deaths,Percent Breast Cancer,3
174,Eggs | 00002949 || Food available for consumption | 0645pc || kilograms per year per capita,Eggs consumption,2
175,Percent of Malaria deaths,Percent Malaria Deaths,3
176,Rate of Asthma deaths,Rate Asthma Deaths,3
177,Percent of Zika virus deaths,Percent Zika Virus,3
178,GDP per capita: PPP (constant 2017 international $),GDP Per Capita:PPP,10
179,Territory under state control (best estimate: aggregate: average),Territory Under State,16
180,Percent of Tetanus deaths,Percent Tetanus Deaths,3
181,Potatoes yield,Potatoes Yield,2
182,Share of global nitrous oxide emissions,Nitrous Oxide Emissions,13
183,Meat: total | 00002943 || Food available for consumption | 0645pc || kilograms per year per capita,Meat: total consumption,2
184,Percent of Fire: heat: and hot substances deaths,Fire and heat-related deaths,3
185,Life expectancy at birth UNDP,Life expectancy at birth UNDP,3
186,Rate of Exposure to mechanical forces deaths,Mechanical forces-related deaths,3
187,Equal access to power index (best estimate),Equal Access to Power,10
188,Barley yield,Barley Yield,2
189,Rate of Animal contact deaths,Animal Contact Deaths,3
190,Cumulative CO₂ emissions from land-use change,CO₂ emissions from land-use,13
191,Gender Development Index,Gender Development Index,5
192,Rate of Foreign body deaths,Foreign Body Deaths,3
193,Rate of Kidney cancer deaths,Kidney Cancer Deaths,3
194,Prevalence of overweight among children and adolescents: BMI > +1 standard deviations above the median (crude estimate) (%) - Sex: both sexes - Age group: 5-19  years,Overweight Among Children and Adolescents,3
195,Life expectancy at birth,Life Expectancy at Birth,3
196,Ten year age-group with the highest population,Largest Ten Year Age-group,
197,Share of adults who are overweight (age-standardized) - Sex: both sexes - Age group: 18+  years,Overweight Adults,3
198,The law prohibits discrimination in access to credit based on gender (1=yes; 0=no),Law Prohibits Gender Discrimination,5
199,Liberal political institutions (best estimate) (re-estimate),Liberal Political Institutions,16
200,Political regime (liberal democracy),Liberal Democracy Regime,16
201,Augmented Human Development Index (AHDI),Augmented Human Development,9
202,Percent of Leukemia deaths,Percent Leukemia Deaths,3
203,Access to electricity (% of population),Access to electricity,7
204,Rye yield,Rye Yield,2
205,Share of adults who are overweight (age-standardized) - Sex: male - Age group: 18+  years,Overweight Adults (male),3
206,Nutrient phosphate P2O5 (total) | 00003103 || Use per area of cropland | 005159 || Kilograms per hectare,Nutrient phosphate P2O5 ,13
207,Solar and wind electricity per capita - kWh,Solar And Wind Electricity,7
208,Percent of Total burden related to Non-alcoholic fatty liver disease (NAFLD) deaths,NAFLD deaths,3
209,Death rate from alcohol use disorders among both sexes,Alcohol use disorder deaths,3
210,Refugees by country of origin per 100:000 people,Refugees Country Origin,16
211,Military personnel as a share of total population,Military Personnel Share,16
212,Women's civil society participation index (best estimate: aggregate: average),Womens Civil Society Participation,5
213,Estimated HIV in incident tuberculosis,HIV Incident Tuberculosis,3
214,Rate of Total Cancers excluding Non-melanoma skin cancer deaths,Rate Total Cancers (- skin cancer),3
215,Women Business and the Law Index Score (scale 1-100),Women Business and the Law ,5
216,Political regime lexical,Political Regime Lexical,16
217,Vegetables | 00002918 || Food available for consumption | 0645pc || kilograms per year per capita,Vegetables consumption,2
218,Between 90th and 99th percentiles - Share-pretax,Share-pretax,1
219,Oats yield,Oats Yield,2
220,Decadal average surface temperature,Decadal Average Surface Temperature,13
221,Women and men have equal ownership rights to immovable property (1=yes; 0=no),Gender-equal house ownership rights,5
222,Expected years of schooling,Expected Years of Schooling,4
223,Death rate from tuberculosis among both sexes,Tuberculosis Death,3
224,Share of global annual CO₂ emissions from oil,CO₂ emissions from oil,13
225,Gini coefficient of lifespan inequality - Sex: female,Gini Coefficient Inequality:female,1
226,6.4.2 - Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%) - ER_H2O_STRESS - No breakdown,Level Water Stress,6
227,Percent of Parkinson's disease deaths,Percent Parkinsons Disease,3
228,Percent of Uterine cancer deaths,Percent Uterine Cancer,3
229,Share of global greenhouse gas emissions,Global greenhouse gas emissions,13
230,Woman head of state,Woman Head of State,5
231,Gini coefficient,Gini Coefficient,1
232,Potatoes yield split,Potatoes Yield Split,2
233,Average years of schooling,Average Years Schooling,4
234,CO₂ emissions covered by an ETS as a share of the country's CO₂ emissions,ETS CO₂ emissions ,13
235,MCV1 (% of one-year-olds immunized),MCV1,3
236,Domestic general government health expenditure (% of current health expenditure),Domestic government health expenditure,3
237,Percent of Poisonings deaths,Percent Poisonings Deaths,3
238,Annual CO₂ emissions (per capita),Annual CO₂ emissions ,13
239,Death rate from cocaine use disorders among both sexes,Cocaine use deaths,3
240,Percent of Conflict and terrorism deaths,Conflict and terrorism deaths,16
241,Bottom 50% - Share-pretax,Bottom Sharepretax,1
242,Rate of Total burden related to hepatitis B deaths,Hepatitis B deaths,3
243,Rate of Maternal disorders deaths,Maternal Disorder deaths,3
244,Sex ratio - Sex: all - Age: 5 - Variant: estimates,Sex Ratio Age 5,
245,fertilizer_per_capita,Fertilizer per capita,13
246,Case detection rate (all forms),Case Detection Rate,
247,Food's share of total emissions (incl. LULUFC),Foods Share of Emmissions,13
248,Free political regime,Free Political Regime,16
249,Per-capita nitrous oxide emissions in CO₂ equivalents,Nitrous oxide emissions in CO₂,13
250,Rate of Zika virus deaths,Zika Virus Deaths,2
251,Vienna Convention and Montreal Protocol (Parties Subscribing each Year),Vienna Convention and Montreal Protocol ,17
252,Total days of leave available for the father,Leave available for the father,8
253,Nuclear weapons status,Nuclear Weapons Status,7
254,Fossil fuels - % electricity,Fossil Fuels Electricity,7
255,Aquaculture production (metric tons),Aquaculture Production,14
256,Rate of Falls deaths,Rate of Falls Deaths,3
257,Percent of Alzheimer's disease and other dementias deaths,Percent Alzheimers Disease,3
258,Top 1% - Share (Pretax) (Estimated),Top Share Pretax,1
259,Competitive elections,Competitive Elections,16
260,Political corruption index (best estimate: aggregate: average),Political Corruption Index,16
261,Electoral democracy index (best estimate: aggregate: average),Electoral democracy index,16
262,Unemployment: female (% of female labor force) (modeled ILO estimate),Female Unemployment,5
263,Gross enrolment ratio: primary: both sexes (%),Gross Enrolment Ratio,16
264,Carbon intensity of electricity - gCO2/kWh,Carbon Intensity of Electricity,7
265,Death rate from interpersonal violence among both sexes,Interpersonal violence deaths,3
266,Total deaths from dengue among both sexes,Dengue Deaths,3
267,Richest decile - Share (Net national wealth) (Estimated),Net national wealth,8
268,Age-standardized death rate from cardiomyopathy: myocarditis: endocarditis among both sexes,Cardiomyopathy Deaths,3
269,Completion rate: upper secondary education: both sexes (%): CR.3,Secundary Education Completion,4
270,6.6.1 - Lakes and rivers permanent water area (% of total land area) - EN_LKRV_PWAP,Lakes And Rivers Permanent Water,6
271,Child dependency ratio - Sex: all - Variant: estimates,Child Dependency Ratio,3
272,Estimated mortality from all forms of tuberculosis per 100:000 population,Estimated Mortality From Tuberculosis,3
273,Global merchandise exports (% of GDP),Global Merchandise Exports,9
274,Milk - Excluding Butter | 00002848 || Food available for consumption | 0645pc || kilograms per year per capita,Milk - excluding butter consumption,2
275,Palma ratio (Pretax) (Estimated),Palma ratio (Pretax) ,8
276,Armed forces personnel (% of total population),Armed Forces Personnel,16
277,Energy intensity level of primary energy (MJ/$2017 PPP GDP),Energy Intensity Level,7
278,Competitiveness of executive recruitment,Competitiveness Executive Recruitment,8
279,Freedom of Expression and Alternative Sources of Information index (best estimate),Freedom Expression And Info,16
280,7.2.1 - Renewable energy share in the total final energy consumption (%) - EG_FEC_RNEW,Renewable Energy Consumption,7
281,Urban population (% of total population),Urban Population,
282,Alcohol: recorded per capita (15+) consumption (in litres of pure alcohol) - Beverage types: Wine,Wine Consumption,3
283,Respect for counterarguments (best estimate),Respect For Counterarguments,16
284,Death rate from drug use disorders among both sexes,Drug use-related Deaths,3
285,Number of slave ships arrived,Number of slave ships arrived,
286,Annual CO₂ emissions including land-use change per capita,Annual CO₂ emissions ,13
287,Pesticides (total) | 00001357 || Use per area of cropland | 005159 || Kilograms per hectare,Pesticides (total) indicator,2
288,Cumulative CO₂ emissions from cement,CO₂ emissions from cement,13
289,Fossil fuel electricity per capita - kWh,Fossil Fuel Electricity,7
290,Completion rate: primary education: both sexes (%): CR.1,Primary Education Completion,4
291,nitrogen_efficiency,Nitrogen Efficiency,7
292,Mean HDL cholesterol: age-standardized - Sex: both sexes,Mean HDL cholesterol,3
293,All fertilizers use per area of cropland,Fertilizers use per area of cropland,2
294,Per capita carbon dioxide emissions from transport,CO2 emissions from transport,13
295,Rate of Alzheimer's disease and other dementias deaths,Rate Alzheimers Disease,3
296,The law prohibits discrimination in employment based on gender (1=yes; 0=no),Law prohibits gender discrimination in employment,5
297,There is paid parental leave (1=yes; 0=no),Paid Parental Leave,8
298,Renewable electricity per capita - kWh,Renewable Electricity Per Capita,7
299,Rate of Testicular cancer deaths,Testicular Cancer Death,3
300,Death rate from substance use disorders among both sexes,Substance use Deaths,3
301,Clean elections index (best estimate),Clean Elections Index,16
302,Gross national income per capita,Gross National Income,8
303,Meat: pig | 00001035 || Yield | 005417 || kilograms per animal,Meat: pig yield,2
304, Spending on education (% of GDP),Spending on Education,4
305,Percent of Dengue deaths,Percent Dengue Deaths,3
306,output_quantity,Output quantity,
307,Eggs | 00001783 || Yield | 005410 || kilograms per animal,Eggs yield,2
308,Consumer price index (2010 = 100),Consumer Price Index,12
309,8.2.1 - Annual growth rate of real GDP per employed person (%) - SL_EMP_PCAP,Annual Growth Rate,8
310,Solar and wind - % electricity,Solar And Wind %,7
311,Rigorous and impartial public administration (best estimate: aggregate: average),Rigorous and impartial public administration,16
312,Rate of Neonatal disorders deaths,Neonatal disorders deaths,3
313,Mean Non-HDL cholesterol: age-standardized - Sex: both sexes,Mean Nonhdl Cholesterol,3
314,Foreign Direct Investmen in millions of 2015 dollars outflow,Foreign Direct Investmen,17
315,Rate of Prostate cancer deaths,Prostate Cancer Deaths,3
316,Share of the rural population using at least basic sanitation services: improved sanitation facilities which are not shared,Rural basic sanitation services,6
317,Rate of Breast cancer deaths,Breast Cancer Deaths,3
318,Share of the population using improved water sources,Improved water sources use,6
319,Solar electricity per capita - kWh,Solar Electricity Per Capita,7
320,Death rate from parkinson disease among both sexes,Parkinson disease deaths,3
321,Sons and daughters have equal rights to inherit assets from their parents (1=yes; 0=no),Equal Rights of Sons And Daughters,5
322,Life expectancy - Sex: female - Age: 0 - Variant: estimates,Female Life expectancy,3
323,Annual CO₂ emissions from flaring (per capita),CO₂ emissions from flaring,13
324,Nuclear electricity per capita - kWh,Nuclear Electricity Per Capita,7
325,Share of global forest area,Global Forest Area,15
326,Land use (per capita): Agriculture,Land Use in Agriculture,15
327,Rate of Poisonings deaths,Poisoning-related Deaths,3
328,Gross enrolment ratio for tertiary education: both sexes (%): GER.5T8,Tertiary education enrolment,4
329,Annual freshwater withdrawals: agriculture (% of total freshwater withdrawal),Agriculture Freshwater Withdrawals,6
330,Transparent laws with predictable enforcement (best estimate) (re-estimate),Transparent Laws With Enforcement,16
331,Women's share of population ages 15+ living with HIV (%),Women Population with HIV,3
332,Total greenhouse gas emissions per capita excluding land-use change and forestry,Total Greenhouse Gas Emmissions,13
333,Legislative constraints on the executive index (best estimate),Legislative Constraints on the Executive,16
334,The law is free of legal provisions that require a married woman to obey her husband  (1=yes; 0=no),Law Free of man-women obbligation,16
335,Reported cases of guinea worm disease in humans,Guinea worm disease in humans,3
336,Age-standardized death rate from stroke among both sexes,Stroke-related deaths,3
337,Military spending (% of GDP),Military Spending,16
338,Death rate from poisonings among both sexes,Poisoning Death Rate,2
339,Vaccination schedule for mumps vaccine,Mumps vaccine,3
340,Percent of Interpersonal violence deaths,Percent Interpersonal Violence Deaths,3
341,Wind electricity per capita - kWh,Wind Electricity Per Capita,7
342,Rate of Tetanus deaths,Tetanus Deaths,3
343,Rate of Eating disorders deaths,Eating Disorder Deaths,3
344,lead_petrol_banned,Lead petrol banned,7
345,Rate of Dengue deaths,Rate of Dengue Deaths,3
346,Rate of Total burden related to Non-alcoholic fatty liver disease (NAFLD) deaths,Non-alcoholic fatty liver disease (NAFLD) deaths,3
347,Share of the population practicing open defecation,Open defecation,6
348,Elected officials index,Elected Officials Index,16
349,A woman can apply for a passport in the same way as a man (1=yes; 0=no),Woman Can Apply,5
350,Death rate in ongoing conflicts in a country (best estimate) - Conflict type: all,Death from ongoing conflicts,3
351,Daily smoking prevalence - both (IHME: GHDx (2012)),Daily Smoking Prevalence,3
352,Change in global mean surface temperature caused by greenhouse gas emissions from fossil fuels and industry,Change in Temperature from Fossil fuels,13
353,Share of global annual CO₂ emissions from gas,CO₂ emissions from gas,13
354,Rate of Meningitis deaths,Rate Meningitis Deaths,3
355,Wheat yield split,Wheat yield split,2
356,Share of global annual CO₂ emissions from cement,Annual CO₂ emissions from cement,13
357,Estimated maternal mortality ratio SDG,Maternal mortality ratio SDG,3
358,Cereals | 00001717 || Yield | 005419 || tonnes per hectare,Cereals yield,2
359,Per-capita methane emissions in CO₂ equivalents,Percapita Methane Emissions,13
360,Political opposition,Political Opposition,16
361,Terrorism deaths,Terrorism Deaths,16
362,Death rate from malignant neoplasms among both sexes,Death from malignant neoplasms,3
363,Daily calorie supply per person,Daily Calorie Supply,2
364,Mean BMI (female),Mean BMI (female),1
365,Death rate from drowning among both sexes,Death rate from drowning,3
366,Percent of Drowning deaths,Percent Drowning Deaths,3
367,Percent of Adverse effects of medical treatment deaths,Medical treatment deaths,3
368,Population: female (% of total population),Population Female,
369,Share of the population using improved sanitation facilities,Population using improved sanitation facilities,6
370,Sex ratio - Sex: all - Age: 0 - Variant: estimates,Sex Ratio Newborn,
371,Renewable internal freshwater resources per capita (cubic meters),Renewable Internal Freshwater,6
372,Elite consultation (best estimate),Elite Consultation,1
373,Percent of Exposure to mechanical forces deaths,Percent of Exposure to mechanical forces deaths,3
374,Fixed telephone subscriptions (per 100 people),Fixed Telephone Subscriptions,9
375,Foreign Direct Investmen in millions of 2015 dollars inflow,Foreign Direct Investment inflow,17
376,Rate of Exposure to forces of nature deaths,Exposure to forces of nature deaths,3
377,Top 1% - Share-pretax,Top Sharepretax,8
378,A woman can choose where to live in the same way as a man (1=yes; 0=no),Woman and Man Choice of Living,5
379,Employment to population ratio: 15+: female (%) (modeled ILO estimate),Employment Population Ratio,8
380,Period life expectancy (with projections) - Sex: all - Age: 15,Life expectancy: all,3
381,Percent of Neonatal disorders deaths,Neonatal disorders deaths,3
382,Share of global annual CO₂ emissions from coal,CO₂ emissions from coal,13
383,Rate of Diabetes mellitus deaths,Diabetes mellitus deaths,3
384,Percent of Drug use disorders deaths,Drug use disorders deaths,3
385,Rate of Total cancers deaths,Total cancers deaths,3
386,Life expectancy ratio (f/m) - Type: period - Sex: both - Age: 0,Life expectancy ratio (f/m),3
387,Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),Domestic General Government Health Expenditure,16
388,Rate of Drowning deaths,Rate Drowning Deaths,3
389,share_employed_agri,Share of Employment in Agriculture,2
390,Age-standardized death rate from cardiovascular diseases among both sexes,Cardiovascular diseases among both sexes,3
391,Fish and seafood | 00002960 || Food available for consumption | 0645pc || kilograms per year per capita,Fish and seafood consumption,2
392,Total greenhouse gas emissions per capita including land-use change and forestry,Greenhouse gas emissions inc land-use change and forestry,13
393,Survival to age 65: male (% of cohort),Survival Age Male,3
394,Share of the urban population using at least basic drinking water services,Urban population using at least basic drinking water services,6
395,Openness of executive recruitment,Openness Executive Recruitment,16
396,Theoretical duration of pre-primary education (years),Theoretical Duration Preprimary,4
397,A woman can register a business in the same way as a man (1=yes; 0=no),Woman Can Register a Business,5
398,Labor force: female (% of total labor force),Labor Force Female,5
399,Scientific and technical journal articles per million people,Scientific Research Papers,9
400,Agriculture: forestry: and fishing: value added (% of GDP),Agriculture Forestry And,
401,Meat: chicken | 00001058 || Yield | 005424 || kilograms per animal,Meat: chicken yield,
402,Alcohol: recorded per capita (15+) consumption (in litres of pure alcohol) - Beverage types: Spirits,Alcohol Recorded Per 2,
403,Millet yield,Millet Yield,
404,Agriculture: forestry: and fishing: value added per worker (constant 2015 US$),Agriculture Forestry And 1,
405,Age of democracy (with women's suffrage),Democracy 3,
